PROT1	PROT2	RANK_MAJOR	RANK_MINOR	TYPE	PDB_ID	BIO_UNIT	CHAIN1	MODEL1	SEQ_IDENT1	COVERAGE1	SEQ_BEGIN1	SEQ_END1	DOMAIN1	CHAIN2	MODEL2	SEQ_IDENT2	COVERAGE2	SEQ_BEGIN2	SEQ_END2	DOMAIN2	FILENAME
A0A0B4J271	P20963	1	0	Structure	6jxr	1	m	0	100.0	78.1	26	114	-	a	0	100.0	22.0	22	57	-	A0A0B4J271-P20963-EXP-6jxr.pdb1-m-0-a-0.pdb
A0A0B4J272	A0A0G2JMB4	1	0	Structure	6cqn	1	D	0	100.0	79.8	24	114	-	E	0	98.4	72.1	2	130	-	A0A0B4J272-A0A0G2JMB4-EXP-6cqn.pdb1-D-0-E-0.pdb
A0A0B4J272	A0A5B9	1	0	Structure	6cph	1	D	0	100.0	79.8	24	114	-	E	0	97.7	72.5	1	129	-	A0A0B4J272-A0A5B9-EXP-6cph.pdb1-D-0-E-0.pdb
A0A0B4J272	P01903	1	0	Structure	6cql	1	D	0	100.0	79.8	24	114	-	A	0	100.0	70.1	29	206	-	A0A0B4J272-P01903-EXP-6cql.pdb1-D-0-A-0.pdb
A0A0B4J274	A0A0U5Q247	1	0	Structure	5ksa	1	C	0	100.0	81.2	22	112	-	B	0	99.5	72.8	34	223	-	A0A0B4J274-A0A0U5Q247-EXP-5ksa.pdb1-C-0-B-0.pdb
A0A0B4J274	A0A580	1	0	Structure	5ksa	1	C	0	100.0	81.2	22	112	-	D	0	100.0	81.6	22	114	-	A0A0B4J274-A0A580-EXP-5ksa.pdb1-C-0-D-0.pdb
A0A0B4J274	A0A5B9	1	0	Structure	5ksa	1	C	0	100.0	81.2	22	112	-	D	0	96.9	72.5	1	129	-	A0A0B4J274-A0A5B9-EXP-5ksa.pdb1-C-0-D-0.pdb
A0A0B4J274	L8E864	1	0	Structure	5ks9	1	G	0	100.0	78.6	24	111	-	A	0	100.0	71.4	25	206	-	A0A0B4J274-L8E864-EXP-5ks9.pdb1-G-0-A-0.pdb
A0A0B4J274	P01909	1	0	Structure	5ksa	1	C	0	100.0	81.2	22	112	-	A	0	99.5	71.7	25	206	-	A0A0B4J274-P01909-EXP-5ksa.pdb1-C-0-A-0.pdb
A0A0B4J277	A0A584	1	0	Structure	6r2l	1	D	0	97.8	80.9	21	109	-	E	0	90.4	81.7	21	114	-	A0A0B4J277-A0A584-EXP-6r2l.pdb1-D-0-E-0.pdb
A0A0B4J277	A0A5A3	1	0	Structure	4udt	1	A	0	98.9	81.8	21	110	-	B	0	100.0	81.9	21	115	-	A0A0B4J277-A0A5A3-EXP-4udt.pdb1-A-0-B-0.pdb
A0A0B4J277	A0A5B9	1	0	Structure	4udt	1	A	0	98.9	81.8	21	110	-	B	0	96.1	72.5	1	129	-	A0A0B4J277-A0A5B9-EXP-4udt.pdb1-A-0-B-0.pdb
A0A0B4J277	K7N5M4	1	0	Structure	6r2l	1	D	0	97.8	80.9	21	109	-	E	0	67.6	94.6	5	249	-	A0A0B4J277-K7N5M4-EXP-6r2l.pdb1-D-0-E-0.pdb
A0A0B4J277	P04439	1	0	Structure	6r2l	1	D	0	97.8	80.9	21	109	-	A	0	93.1	75.3	25	299	-	A0A0B4J277-P04439-EXP-6r2l.pdb1-D-0-A-0.pdb
A0A0B4J279	A0A0K0K1A5	1	0	Structure	2bnu	1	A	0	100.0	82.1	21	112	-	B	0	100.0	81.6	22	114	-	A0A0B4J279-A0A0K0K1A5-EXP-2bnu.pdb1-A-0-B-0.pdb
A0A0B4J279	A0A578	1	0	Structure	5bs0	1	D	0	94.6	82.1	21	112	-	E	0	98.9	82.5	21	114	-	A0A0B4J279-A0A578-EXP-5bs0.pdb1-D-0-E-0.pdb
A0A0B4J279	A0A592	1	0	Structure	5eu6	1	D	0	100.0	82.1	20	111	-	E	0	99.0	82.8	20	115	-	A0A0B4J279-A0A592-EXP-5eu6.pdb1-D-0-E-0.pdb
A0A0B4J279	A0A5B9	1	0	Structure	4ww1	1	A	0	96.7	80.4	21	110	-	B	0	97.7	71.9	1	128	-	A0A0B4J279-A0A5B9-EXP-4ww1.pdb1-A-0-B-0.pdb
A0A0B4J279	P01850	1	0	Structure	2bnu	1	A	0	100.0	82.1	21	112	-	B	0	95.3	73.3	1	129	-	A0A0B4J279-P01850-EXP-2bnu.pdb1-A-0-B-0.pdb
A0A0B4J279	P04439	1	0	Structure	2bnq	1	D	0	100.0	82.1	21	112	-	A	0	93.1	75.3	25	299	-	A0A0B4J279-P04439-EXP-2bnq.pdb1-D-0-A-0.pdb
A0A0B4J279	P15813	1	0	Structure	4ww2	1	A	0	100.0	81.2	20	110	-	C	0	100.0	82.1	21	295	-	A0A0B4J279-P15813-EXP-4ww2.pdb1-A-0-C-0.pdb
A0A0B4J279	P40967	1	0	Structure	5eu6	1	D	0	100.0	82.1	20	111	-	C	0	100.0	1.2	280	287	-	A0A0B4J279-P40967-EXP-5eu6.pdb1-D-0-C-0.pdb
A0A0B4J279	P43357	1	0	Structure	5brz	1	D	0	94.6	82.1	21	112	-	C	0	100.0	2.9	168	176	-	A0A0B4J279-P43357-EXP-5brz.pdb1-D-0-C-0.pdb
A0A0B4J279	P78358	1	0	Structure	2bnq	1	D	0	100.0	82.1	21	112	-	C	0	100.0	4.4	157	164	-	A0A0B4J279-P78358-EXP-2bnq.pdb1-D-0-C-0.pdb
A0A0B4J279	Q8WZ42	1	0	Structure	5bs0	1	D	0	94.6	82.1	21	112	-	C	0	100.0	0.0	24337	24345	-	A0A0B4J279-Q8WZ42-EXP-5bs0.pdb1-D-0-C-0.pdb
A0A0B4J2E0	P01308	1	0	Structure	5hyj	1	E	0	99.0	83.5	20	115	-	C	0	90.0	9.1	15	24	-	A0A0B4J2E0-P01308-EXP-5hyj.pdb1-E-0-C-0.pdb
A0A0B4J2E0	P01848	1	0	Structure	5c0c	1	J	0	99.0	83.5	20	115	-	I	0	98.9	63.6	1	89	-	A0A0B4J2E0-P01848-EXP-5c0c.pdb1-J-0-I-0.pdb
A0A0B4J2E0	P04439	1	0	Structure	5c0c	1	J	0	99.0	83.5	20	115	-	A	0	93.1	75.3	25	299	-	A0A0B4J2E0-P04439-EXP-5c0c.pdb1-J-0-A-0.pdb
A0A0C4DGV4	Q0VGL1	1	0	Structure	6b9x	1	E	0	100.0	52.6	83	173	-	D	0	100.0	90.9	3	92	-	A0A0C4DGV4-Q0VGL1-EXP-6b9x.pdb1-E-0-D-0.pdb
A0A0C4DGV4	Q6IAA8	1	0	Structure	6b9x	1	E	0	100.0	52.6	83	173	-	A	0	100.0	37.3	97	156	-	A0A0C4DGV4-Q6IAA8-EXP-6b9x.pdb1-E-0-A-0.pdb
A0A0C4DGV4	Q9UHA4	1	0	Structure	6b9x	1	E	0	100.0	52.6	83	173	-	C	0	100.0	97.6	2	122	-	A0A0C4DGV4-Q9UHA4-EXP-6b9x.pdb1-E-0-C-0.pdb
A0A0C4DGV4	Q9Y2Q5	1	0	Structure	6b9x	1	E	0	100.0	52.6	83	173	-	B	0	100.0	100.0	1	125	-	A0A0C4DGV4-Q9Y2Q5-EXP-6b9x.pdb1-E-0-B-0.pdb
A0A0C4DGY3	A8MTZ0	1	0	Structure	6xt9	1	H	0	100.0	64.4	181	505	-	J	0	100.0	59.8	26	80	-	A0A0C4DGY3-A8MTZ0-EXP-6xt9.pdb1-H-0-J-0.pdb
A0A0C4DGY3	Q3SYG4	1	0	Structure	6xt9	1	H	0	100.0	64.4	181	505	-	I	0	96.8	89.3	9	800	-	A0A0C4DGY3-Q3SYG4-EXP-6xt9.pdb1-H-0-I-0.pdb
A0A0C4DGY3	Q8NFJ9	1	0	Structure	6xt9	1	H	0	100.0	64.4	181	505	-	A	0	100.0	95.6	21	587	-	A0A0C4DGY3-Q8NFJ9-EXP-6xt9.pdb1-H-0-A-0.pdb
A0A0C4DGY3	Q96RK4	1	0	Structure	6xt9	1	H	0	100.0	64.4	181	505	-	D	0	100.0	76.3	28	423	-	A0A0C4DGY3-Q96RK4-EXP-6xt9.pdb1-H-0-D-0.pdb
A0A0G2JMB4	P01903	1	0	Structure	6cqn	1	E	0	98.4	72.1	2	130	-	A	0	100.0	70.1	29	206	-	A0A0G2JMB4-P01903-EXP-6cqn.pdb1-E-0-A-0.pdb
A0A0G2JMB4	P01911	1	0	Structure	6cqn	1	E	0	98.4	72.1	2	130	-	B	0	91.6	71.4	30	219	-	A0A0G2JMB4-P01911-EXP-6cqn.pdb1-E-0-B-0.pdb
A0A0K0K1A5	A0N4Z6	1	0	Structure	6jxr	1	n	0	100.0	79.8	22	112	-	m	0	85.0	100.0	1	20	-	A0A0K0K1A5-A0N4Z6-EXP-6jxr.pdb1-n-0-m-0.pdb
A0A0K0K1A5	P01848	1	0	Structure	2bnu	1	B	0	100.0	81.6	22	114	-	A	0	97.8	63.6	1	89	-	A0A0K0K1A5-P01848-EXP-2bnu.pdb1-B-0-A-0.pdb
A0A0K0K1A5	P04234	1	0	Structure	6jxr	1	n	0	100.0	79.8	22	112	-	d	0	100.0	63.2	22	129	-	A0A0K0K1A5-P04234-EXP-6jxr.pdb1-n-0-d-0.pdb
A0A0K0K1A5	P04437	1	0	Structure	1bd2	1	E	0	100.0	81.6	22	114	-	D	0	98.9	76.5	28	118	-	A0A0K0K1A5-P04437-EXP-1bd2.pdb1-E-0-D-0.pdb
A0A0K0K1A5	P04439	1	0	Structure	2bnq	1	E	0	100.0	81.6	22	114	-	A	0	93.1	75.3	25	299	-	A0A0K0K1A5-P04439-EXP-2bnq.pdb1-E-0-A-0.pdb
A0A0K0K1A5	P07766	1	0	Structure	6jxr	1	n	0	100.0	79.8	22	112	-	f	0	100.0	59.9	33	156	-	A0A0K0K1A5-P07766-EXP-6jxr.pdb1-n-0-f-0.pdb
A0A0K0K1A5	P09693	1	0	Structure	6jxr	1	n	0	100.0	79.8	22	112	-	g	0	100.0	63.2	24	138	-	A0A0K0K1A5-P09693-EXP-6jxr.pdb1-n-0-g-0.pdb
A0A0K0K1A5	P15813	1	0	Structure	4wwk	1	B	0	100.0	80.7	22	113	-	C	0	100.0	80.6	26	295	-	A0A0K0K1A5-P15813-EXP-4wwk.pdb1-B-0-C-0.pdb
A0A0K0K1A5	P20963	1	0	Structure	6jxr	1	n	0	100.0	79.8	22	112	-	b	0	100.0	19.5	24	55	-	A0A0K0K1A5-P20963-EXP-6jxr.pdb1-n-0-b-0.pdb
A0A0K0K1A5	P61769	1	0	Structure	1ao7	2	E	2	100.0	79.8	22	112	-	B	1	98.0	83.2	21	119	-	A0A0K0K1A5-P61769-EXP-1ao7.pdb2-E-2-B-1.pdb
A0A0K0K1A5	P78358	1	0	Structure	2bnq	1	E	0	100.0	81.6	22	114	-	C	0	100.0	4.4	157	164	-	A0A0K0K1A5-P78358-EXP-2bnq.pdb1-E-0-C-0.pdb
A0A0U5IHY9	K7N5M3	1	0	Structure	6px6	1	B	0	95.2	71.6	35	221	-	D	0	69.0	89.1	5	200	-	A0A0U5IHY9-K7N5M3-EXP-6px6.pdb1-B-0-D-0.pdb
A0A0U5IHY9	K7N5M4	1	0	Structure	6py2	1	B	0	95.2	71.6	35	221	-	E	0	68.4	93.4	7	248	-	A0A0U5IHY9-K7N5M4-EXP-6py2.pdb1-B-0-E-0.pdb
A0A0U5IHY9	K7N5N2	1	0	Structure	6py2	1	B	0	95.2	71.6	35	221	-	D	0	57.3	88.4	14	196	-	A0A0U5IHY9-K7N5N2-EXP-6py2.pdb1-B-0-D-0.pdb
A0A0U5IHY9	Q08AS3	1	0	Structure	6py2	1	B	0	95.2	71.6	35	221	-	A	0	100.0	71.7	26	207	-	A0A0U5IHY9-Q08AS3-EXP-6py2.pdb1-B-0-A-0.pdb
A0A0U5Q247	A0A580	1	0	Structure	5ksa	1	B	0	99.5	72.8	34	223	-	D	0	100.0	81.6	22	114	-	A0A0U5Q247-A0A580-EXP-5ksa.pdb1-B-0-D-0.pdb
A0A0U5Q247	A0A5B9	1	0	Structure	5ksa	1	B	0	99.5	72.8	34	223	-	D	0	96.9	72.5	1	129	-	A0A0U5Q247-A0A5B9-EXP-5ksa.pdb1-B-0-D-0.pdb
A0A0U5Q247	L8E864	1	0	Structure	5ks9	1	B	0	94.2	73.2	34	224	-	A	0	100.0	71.4	25	206	-	A0A0U5Q247-L8E864-EXP-5ks9.pdb1-B-0-A-0.pdb
A0A0U5Q247	P01848	1	0	Structure	5ksa	1	B	0	99.5	72.8	34	223	-	C	0	98.8	59.3	1	83	-	A0A0U5Q247-P01848-EXP-5ksa.pdb1-B-0-C-0.pdb
A0A0U5Q247	P01909	1	0	Structure	5ksa	1	B	0	99.5	72.8	34	223	-	A	0	99.5	71.7	25	206	-	A0A0U5Q247-P01909-EXP-5ksa.pdb1-B-0-A-0.pdb
A0A173ADK6	P61769	1	0	Structure	6j2a	1	A	0	100.0	75.1	25	298	-	B	0	100.0	83.2	21	119	-	A0A173ADK6-P61769-EXP-6j2a.pdb1-A-0-B-0.pdb
A0A1X8XL64	A0A1X8XL64	1	0	Structure	5gxq	1	E	0	100.0	71.2	41	139	-	A	0	100.0	69.8	42	138	-	A0A1X8XL64-A0A1X8XL64-EXP-5gxq.pdb1-E-0-A-0.pdb
A0A1X8XL64	P04908	1	0	Structure	5gxq	1	E	0	100.0	71.2	41	139	-	C	0	100.0	83.1	12	119	-	A0A1X8XL64-P04908-EXP-5gxq.pdb1-E-0-C-0.pdb
A0A1X8XL64	P62805	1	0	Structure	5gxq	1	E	0	100.0	71.2	41	139	-	F	0	100.0	81.6	20	103	-	A0A1X8XL64-P62805-EXP-5gxq.pdb1-E-0-F-0.pdb
A0A3B3ITX3	P11229	1	0	Structure	6oij	1	A	0	74.1	90.0	3	56	-	R	0	68.7	92.4	22	446	-	A0A3B3ITX3-P11229-EXP-6oij.pdb1-A-0-R-0.pdb
A0A3B3ITX3	P62873	1	0	Structure	6oij	1	A	0	74.1	90.0	3	56	-	B	0	100.0	99.7	2	340	-	A0A3B3ITX3-P62873-EXP-6oij.pdb1-A-0-B-0.pdb
A0A499S0B6	P61769	1	0	Structure	6iex	1	A	0	100.0	75.7	25	298	-	B	0	100.0	83.2	21	119	-	A0A499S0B6-P61769-EXP-6iex.pdb1-A-0-B-0.pdb
A0A578	P01848	1	0	Structure	5bs0	1	E	0	98.9	82.5	21	114	-	D	0	98.8	58.6	1	82	-	A0A578-P01848-EXP-5bs0.pdb1-E-0-D-0.pdb
A0A578	P04439	1	0	Structure	5bs0	1	E	0	98.9	82.5	21	114	-	A	0	94.5	75.1	25	298	-	A0A578-P04439-EXP-5bs0.pdb1-E-0-A-0.pdb
A0A578	P43357	1	0	Structure	5brz	1	E	0	98.9	82.5	21	114	-	C	0	100.0	2.9	168	176	-	A0A578-P43357-EXP-5brz.pdb1-E-0-C-0.pdb
A0A578	Q8WZ42	1	0	Structure	5bs0	1	E	0	98.9	82.5	21	114	-	C	0	100.0	0.0	24337	24345	-	A0A578-Q8WZ42-EXP-5bs0.pdb1-E-0-C-0.pdb
A0A580	L8E864	1	0	Structure	5ks9	2	F	0	100.0	81.6	22	114	-	C	0	100.0	71.4	25	206	-	A0A580-L8E864-EXP-5ks9.pdb2-F-0-C-0.pdb
A0A580	P01848	1	0	Structure	5ksa	1	D	0	100.0	81.6	22	114	-	C	0	98.8	59.3	1	83	-	A0A580-P01848-EXP-5ksa.pdb1-D-0-C-0.pdb
A0A580	P01909	1	0	Structure	5ksa	1	D	0	100.0	81.6	22	114	-	A	0	99.5	71.7	25	206	-	A0A580-P01909-EXP-5ksa.pdb1-D-0-A-0.pdb
A0A584	K7N5M3	1	0	Structure	6r2l	1	E	0	90.4	81.7	21	114	-	D	0	64.2	87.7	6	198	-	A0A584-K7N5M3-EXP-6r2l.pdb1-E-0-D-0.pdb
A0A584	P04439	1	0	Structure	6r2l	1	E	0	90.4	81.7	21	114	-	A	0	93.1	75.3	25	299	-	A0A584-P04439-EXP-6r2l.pdb1-E-0-A-0.pdb
A0A592	P01848	1	0	Structure	5eu6	1	E	0	99.0	82.8	20	115	-	D	0	98.9	62.1	1	87	-	A0A592-P01848-EXP-5eu6.pdb1-E-0-D-0.pdb
A0A592	P04439	1	0	Structure	5eu6	1	E	0	99.0	82.8	20	115	-	A	0	93.1	75.3	25	299	-	A0A592-P04439-EXP-5eu6.pdb1-E-0-A-0.pdb
A0A592	P40967	1	0	Structure	5eu6	1	E	0	99.0	82.8	20	115	-	C	0	100.0	1.2	280	287	-	A0A592-P40967-EXP-5eu6.pdb1-E-0-C-0.pdb
A0A5A3	P01848	1	0	Structure	4udt	1	B	0	100.0	81.9	21	115	-	A	0	98.9	64.3	1	90	-	A0A5A3-P01848-EXP-4udt.pdb1-B-0-A-0.pdb
A0A5B4	A0A5B4	1	0	Structure	2ij0	1	E	0	84.4	86.5	15	110	-	C	0	84.4	86.5	15	110	-	A0A5B4-A0A5B4-EXP-2ij0.pdb1-E-0-C-0.pdb
A0A5B6	P01848	1	0	Structure	4zdh	1	B	0	96.8	81.6	22	114	-	A	0	98.9	65.0	1	91	-	A0A5B6-P01848-EXP-4zdh.pdb1-B-0-A-0.pdb
A0A5B9	A0A5B9	1	0	Structure	2eys	2	B	0	97.7	72.5	1	129	-	B	1	97.7	72.5	1	129	-	A0A5B9-A0A5B9-EXP-2eys.pdb2-B-0-B-1.pdb
A0A5B9	K7N5M3	1	0	Structure	6mjj	1	D	0	94.5	71.9	1	128	-	C	0	68.8	91.4	6	206	-	A0A5B9-K7N5M3-EXP-6mjj.pdb1-D-0-C-0.pdb
A0A5B9	L8E864	1	0	Structure	5ks9	1	H	0	96.9	71.9	1	128	-	A	0	100.0	71.4	25	206	-	A0A5B9-L8E864-EXP-5ks9.pdb1-H-0-A-0.pdb
A0A5B9	P01308	1	0	Structure	5hyj	1	E	0	96.9	72.5	1	129	-	C	0	90.0	9.1	15	24	-	A0A5B9-P01308-EXP-5hyj.pdb1-E-0-C-0.pdb
A0A5B9	P01848	1	0	Structure	4udt	1	B	0	96.1	72.5	1	129	-	A	0	98.9	64.3	1	90	-	A0A5B9-P01848-EXP-4udt.pdb1-B-0-A-0.pdb
A0A5B9	P01889	1	0	Structure	3kxf	1	E	0	96.9	72.5	1	129	-	A	0	92.0	76.2	25	300	-	A0A5B9-P01889-EXP-3kxf.pdb1-E-0-A-0.pdb
A0A5B9	P01903	1	0	Structure	6cql	1	E	0	97.7	72.5	1	129	-	A	0	100.0	70.1	29	206	-	A0A5B9-P01903-EXP-6cql.pdb1-E-0-A-0.pdb
A0A5B9	P01909	1	0	Structure	5ksa	1	D	0	96.9	72.5	1	129	-	A	0	99.5	71.7	25	206	-	A0A5B9-P01909-EXP-5ksa.pdb1-D-0-A-0.pdb
A0A5B9	P01911	1	0	Structure	6cql	1	E	0	97.7	72.5	1	129	-	B	0	91.6	71.4	30	219	-	A0A5B9-P01911-EXP-6cql.pdb1-E-0-B-0.pdb
A0A5B9	P04437	1	0	Structure	1bd2	1	E	0	97.7	72.5	1	129	-	D	0	98.9	76.5	28	118	-	A0A5B9-P04437-EXP-1bd2.pdb1-E-0-D-0.pdb
A0A5B9	P04439	1	0	Structure	5c0c	1	J	0	96.9	72.5	1	129	-	A	0	93.1	75.3	25	299	-	A0A5B9-P04439-EXP-5c0c.pdb1-J-0-A-0.pdb
A0A5B9	P04440	1	0	Structure	4p4k	1	D	0	97.7	72.5	1	129	-	B	0	97.3	72.5	32	218	-	A0A5B9-P04440-EXP-4p4k.pdb1-D-0-B-0.pdb
A0A5B9	P15813	1	0	Structure	4ww2	1	B	0	97.7	72.5	1	129	-	C	0	100.0	82.1	21	295	-	A0A5B9-P15813-EXP-4ww2.pdb1-B-0-C-0.pdb
A0A5B9	P40967	1	0	Structure	5eu6	1	E	0	96.9	72.5	1	129	-	C	0	100.0	1.2	280	287	-	A0A5B9-P40967-EXP-5eu6.pdb1-E-0-C-0.pdb
A0A5B9	P43357	1	0	Structure	5brz	1	E	0	96.9	72.5	1	129	-	C	0	100.0	2.9	168	176	-	A0A5B9-P43357-EXP-5brz.pdb1-E-0-C-0.pdb
A0A5B9	P61769	1	0	Structure	1ao7	2	E	2	72.1	72.5	1	129	-	B	1	98.0	83.2	21	119	-	A0A5B9-P61769-EXP-1ao7.pdb2-E-2-B-1.pdb
A0A5B9	Q8WZ42	1	0	Structure	5bs0	1	E	0	96.9	72.5	1	129	-	C	0	100.0	0.0	24337	24345	-	A0A5B9-Q8WZ42-EXP-5bs0.pdb1-E-0-C-0.pdb
